gene_name	chr	gene_start	gene_end	strand	TSS_start	TSS_end
BAHD1	chr15	40439721	40468236	+	40458464	40458514
BAIAP2	chr17	81035122	81117434	+	81087491	81087541
BAIAP2L1	chr7	98291650	98401090	-	98306907	98306957
BAIAP2L2	chr22	38084652	38111015	-	38088888	38110670
BAIAP3	chr16	1333638	1349441	+	1334503	1334553
BAK1	chr6	33572547	33580293	-	33580243	33580293
BAMBI	chr10	28677510	28682932	+	28677509	28677559
BANF1	chr11	66002228	66004149	+	66002227	66002277
BANF2	chr20	17693672	17735871	+	17699941	17699991
BANK1	chr4	101411286	102074812	+	101419960	101420010
BANP	chr16	87949244	88077318	+	87950435	87950485
BAP1	chr3	52401008	52410008	-	52409901	52409951
BARD1	chr2	214725646	214809683	-	214809661	214809711
BARHL1	chr9	132582606	132590252	+	132582184	132582234
BARX1	chr9	93951627	93955355	-	93955322	93955372
BARX2	chr11	129375848	129452279	+	129436173	129436223
BASP1	chr5	17065598	17276843	+	17217559	17217609
BATF	chr14	75522455	75546993	+	75522424	75522474
BATF2	chr11	64987945	64997018	-	64996968	64997018
BAX	chr19	48954815	48961798	+	48954896	48954946
BAZ1A	chr14	34752731	34875647	-	34862057	34862107
BAZ1B	chr7	73440406	73522293	-	73522228	73522278
BAZ2A	chr12	56595596	56636816	-	56606362	56606412
BAZ2B	chr2	159318979	159616569	-	159516609	159516659
BBC3	chr19	47220822	47232766	-	47227139	47227189
BBIP1	chr10	110898730	110919201	-	110904895	110904945
BBLN	chr9	128160265	128163924	+	128160459	128160486
BBOF1	chr14	74019349	74082863	+	74019352	74019402
BBOX1	chr11	27040725	27127809	+	27040870	27040920
BBS1	chr11	66510606	66533613	+	66510615	66510683
BBS10	chr12	76344474	76348415	-	76348392	76348442
BBS12	chr4	122732702	122744942	+	122732701	122732751
BBS2	chr16	56465640	56582667	-	56520037	56520087
BBS4	chr15	72686179	72738475	+	72716827	72716850
BBS5	chr2	169479480	169506655	+	169479479	169479529
BBS7	chr4	121824329	121870487	-	121861629	121861679
BBS9	chr7	33109557	33877180	+	33533686	33533736
BBX	chr3	107522936	107811339	+	107684555	107684605
BCAM	chr19	44809071	44821421	+	44818530	44818580
BCAP29	chr7	107580906	107618493	+	107594021	107594071
BCAR1	chr16	75228207	75268085	-	75250054	75250104
BCAS1	chr20	53936777	54070594	-	54070544	54070594
BCAS3	chr17	60677453	61392838	+	60887278	60887328
BCAS4	chr20	50794894	50877177	+	50795030	50795080
BCAT1	chr12	24810024	24949101	-	24881348	24881398
BCAT2	chr19	48795062	48811029	-	48810983	48811029
BCCIP	chr10	125823546	125853695	+	125823545	125823595
BCDIN3D	chr12	49836043	49843106	-	49843079	49843129
BCHE	chr3	165772904	165837462	-	165837412	165837462
BCKDHA	chr19	41397808	41425002	+	41419022	41419072
BCKDHB	chr6	80106647	80346270	+	80203101	80203151
BCKDK	chr16	31106107	31112791	+	31108448	31108479
BCL11A	chr2	60450520	60554467	-	60553457	60553507
BCL11B	chr14	99169287	99272197	-	99271474	99271524
BCL2	chr18	63123346	63320128	-	63319736	63319786
BCL2A1	chr15	79960892	79971196	-	79971119	79971446
BCL2L1	chr20	31664452	31723989	-	31722547	31722597
BCL2L10	chr15	52109263	52112775	-	52112725	52112775
BCL2L11	chr2	111119378	111168445	+	111120913	111120963
BCL2L12	chr19	49665142	49673916	+	49665960	49666010
BCL2L13	chr22	17628855	17730855	+	17706709	17706759
BCL2L14	chr12	12049844	12211084	+	12049863	12049913
BCL2L2	chr14	23298790	23311751	+	23306859	23306909
BCL2L2-PABPN1	chr14	23306833	23326175	+	23306834	23306894
BCL3	chr19	44747705	44760044	+	44747835	44747885
BCL6	chr3	187721377	187745725	-	187736519	187736569
BCL6B	chr17	7023050	7030290	+	7026500	7026550
BCL7A	chr12	122019422	122062044	+	122019421	122019471
BCL7B	chr7	73536356	73557690	-	73557604	73557654
BCL7C	chr16	30833626	30894302	-	30894252	30894302
BCL9L	chr11	118893875	118925926	-	118910854	118910904
BCLAF1	chr6	136256627	136289851	-	136269690	136269740
BCO1	chr16	81238689	81291142	+	81238688	81238738
BCO2	chr11	112175510	112224699	+	112175545	112175595
BCR	chr22	23179704	23318037	+	23306744	23306794
BCS1L	chr2	218658764	218663443	+	218658763	218658854
BDH1	chr3	197509783	197573323	-	197555937	197555987
BDH2	chr4	103077592	103099870	-	103099820	103099870
BDKRB1	chr14	96256210	96268967	+	96256209	96256259
BDKRB2	chr14	96204679	96244166	+	96204838	96204888
BDNF	chr11	27654893	27722058	-	27700850	27700900
BDP1	chr5	70670918	70783123	+	71522792	71522842
BEAN1	chr16	66427295	66493529	+	66427739	66427789
BECN1	chr17	42810134	42833350	-	42813947	42813989
BEGAIN	chr14	100537147	100587417	-	100569744	100569794
BEND3	chr6	107065182	107115515	-	107114382	107114432
BEND4	chr4	42110853	42152878	-	42152828	42152878
BEND6	chr6	56955107	57027346	+	57013808	57013858
BEND7	chr10	13438484	13529014	-	13502926	13502976
BEST1	chr11	61950063	61965515	+	61950369	61950419
BEST2	chr19	12751702	12758458	+	12752592	12752642
BEST3	chr12	69643360	69699476	-	69699426	69699476
BET1	chr7	93962762	94004382	-	94004325	94004382
BET1L	chr11	167784	207399	-	207378	207428
BFAR	chr16	14632814	14669237	+	14632930	14632980
BFSP1	chr20	17493905	17569220	-	17569170	17569220
BFSP2	chr3	133400056	133475222	+	133400073	133400123
BHLHA15	chr7	98211439	98215457	+	98211426	98211476
BHLHA9	chr17	1270444	1271815	+	1270558	1270608
BHLHE22	chr8	64580365	64583627	+	64580366	64580416
BHLHE23	chr20	63005927	63007035	-	63006985	63007035
BHLHE40	chr3	4979437	4985323	+	4979436	4979486
BHLHE41	chr12	26120030	26125037	-	26124849	26124899
BHMT	chr5	79111809	79132288	+	79111778	79111858
BHMT2	chr5	79069767	79090069	+	79082391	79082441
BICC1	chr10	58512872	58831435	+	58620848	58620898
BICD1	chr12	32106835	32383633	+	32334516	32334566
BICD2	chr9	92711363	92764833	-	92764762	92764812
BICDL1	chr12	119989236	120094494	+	120080957	120081007
BICDL2	chr16	3027682	3036944	-	3031924	3031974
BICRA	chr19	47608196	47703277	+	47609122	47609168
BICRAL	chr6	42746958	42868558	+	42782026	42782076
BID	chr22	17734138	17774770	-	17774445	17774495
BIK	chr22	43110750	43129712	+	43110747	43110797
BIN1	chr2	127048027	127107288	-	127106951	127107001
BIN2	chr12	51281038	51324668	-	51324104	51324154
BIN3	chr8	22620418	22669148	-	22669072	22669125
BIRC2	chr11	102347211	102378670	+	102347373	102347423
BIRC3	chr11	102317450	102339403	+	102317449	102317499
BIRC5	chr17	78214186	78225636	+	78214384	78214427
BIRC6	chr2	32357023	32618878	+	32509678	32509728
BIRC7	chr20	63235883	63240495	+	63235882	63235932
BIVM	chr13	102799119	102841533	+	102800400	102800450
BIVM-ERCC5	chr13	102799110	102875994	+	102807353	102807403
BLCAP	chr20	37492472	37527931	-	37495712	37495762
BLID	chr11	122115340	122116215	-	122116165	122116215
BLK	chr8	11486894	11564599	+	11494389	11494439
BLM	chr15	90717346	90816166	+	90747389	90747439
BLMH	chr17	30248203	30292056	-	30273080	30273130
BLNK	chr10	96189171	96271587	-	96271537	96271587
BLOC1S1	chr12	55716038	55720087	+	55716036	55716086
BLOC1S2	chr10	100273280	100286680	-	100286328	100286378
BLOC1S3	chr19	45178784	45216933	+	45178744	45178794
BLOC1S4	chr4	6716174	6717664	+	6716054	6716104
BLOC1S5	chr6	8013567	8064396	-	8064346	8064414
BLOC1S5-TXNDC5	chr6	7881522	8064364	-	8064314	8064364
BLOC1S6	chr15	45587214	45615945	+	45587559	45587640
BLVRA	chr7	43758680	43807342	+	43758679	43758729
BLVRB	chr19	40447765	40465764	-	40465790	40465840
BMERB1	chr16	15519415	15710184	+	15515304	15515392
BMF	chr15	40087890	40108892	-	40108654	40108704
BMI1	chr10	22321099	22331484	+	22321584	22321634
BMP1	chr8	22165140	22212326	+	22165323	22165373
BMP10	chr2	68860909	68871397	-	68871467	68871517
BMP2	chr20	6767686	6780246	+	6767663	6767713
BMP2K	chr4	78776342	78916365	+	78776341	78776391
BMP3	chr4	81030708	81057627	+	81030964	81031014
BMP4	chr14	53949736	53958761	-	53956761	53956811
BMP5	chr6	55753653	55875590	-	55875514	55875564
BMP6	chr6	7726099	7881728	+	7726796	7726846
BMP7	chr20	57168753	57266641	-	57266579	57266629
BMPER	chr7	33904308	34156427	+	33905532	33905588
BMPR1A	chr10	86756601	86932825	+	86756649	86756699
BMPR1B	chr4	94757955	95158448	+	94757967	95091483
BMPR2	chr2	202376327	202567751	+	202464825	202464875
BMS1	chr10	42782795	42834937	+	42782800	42782830
BMT2	chr7	112819147	112939875	-	112939248	112939298
BNC1	chr15	83255884	83284664	-	83284664	83284714
BNC2	chr9	16409503	16870843	-	16705032	16705082
BNIP1	chr5	173144442	173164387	+	173144441	173144491
BNIP2	chr15	59659146	59689534	-	59677966	59678016
BNIP3	chr10	131967684	131981967	-	131981917	131981967
BNIP3L	chr8	26383054	26505636	+	26383377	26383464
BNIP5	chr6	36315761	36336888	-	36336835	36336885
BOC	chr3	113211003	113287459	+	113284559	113284567
BOD1	chr5	173607145	173616659	-	173614802	173614852
BOD1L1	chr4	13568738	13627725	-	13581019	13581048
BOD1L2	chr18	57147087	57150410	+	57147061	57147111
BOK	chr2	241551424	241574131	+	241558720	241558770
BOLA2	chr16	29453590	29454351	-	29454512	29454562
BOLA2-SMG1P6	chr16	29443230	29454651	-	29454297	29454347
BOLA2B	chr16	30192932	30194306	-	30193647	30193697
BOLA3	chr2	74135400	74147912	-	74145458	74145508
BOLL	chr2	197726879	197786762	-	197786262	197786312
BOP1	chr8	144262045	144291438	-	144291317	144291367
BORA	chr13	72727749	72756198	+	72727903	72727953
BORCS5	chr12	12357078	12471238	+	12357357	12357407
BORCS6	chr17	8188345	8190180	-	8190857	8190907
BORCS7	chr10	102854259	102864961	+	102854261	102854311
BORCS7-ASMT	chr10	102854272	102901899	+	102854271	102854321
BORCS8	chr19	19176903	19192591	-	19192539	19192589
BORCS8-MEF2B	chr19	19145569	19192158	-	19192108	19192158
BPGM	chr7	134646811	134679816	+	134646807	134646857
BPHL	chr6	3118374	3153578	+	3118691	3118741
BPI	chr20	38304150	38337505	+	38304122	38304172
BPIFA1	chr20	33235995	33243311	+	33235994	33236044
BPIFA2	chr20	33161768	33181412	+	33161767	33161817
BPIFA3	chr20	33217310	33227806	+	33217309	33217359
BPIFB1	chr20	33273480	33309871	+	33283134	33298762
BPIFB2	chr20	33007704	33023703	+	33007599	33007649
BPIFB3	chr20	33055424	33073628	+	33055423	33055473
BPIFB4	chr20	33079643	33111751	+	33104703	33104753
BPIFB6	chr20	33031648	33044047	+	33031647	33031697
BPIFC	chr22	32413845	32464484	-	32464434	32464484
BPNT2	chr8	56957931	56993867	-	56980062	56980112
BPTF	chr17	67825503	67984378	+	67825664	67825714
BRAF	chr7	140719327	140924929	-	140924714	140924764
BRAP	chr12	111642146	111685956	-	111685670	111685720
BRAT1	chr7	2537810	2555694	-	2540978	2541024
BRCA1	chr17	43044295	43170245	-	43125352	43125402
BRCA2	chr13	32315086	32400268	+	32315473	32315523
BRD1	chr22	49773283	49827873	-	49823251	49823301
BRD2	chr6	33002124	33012662	+	32969318	32969352
BRD3	chr9	134030305	134068535	-	134041759	134041794
BRD3OS	chr9	134025481	134034666	+	134029038	134029088
BRD4	chr19	15235519	15332545	-	15280401	15280451
BRD7	chr16	50313487	50368988	-	50361791	50361833
BRD8	chr5	138139770	138178953	-	138165912	138166061
BRD9	chr5	850291	892801	-	876153	876203
BRF1	chr14	105209286	105315589	-	105220078	105300992
BRF2	chr8	37843268	37849861	-	37849854	37849904
BRI3	chr7	98252379	98310441	+	98281666	98281716
BRI3BP	chr12	124993645	125031231	+	124993699	124993749
BRICD5	chr16	2209253	2210905	-	2210855	2210905
BRINP1	chr9	119153458	119369435	-	119369417	119369467
BRIP1	chr17	61679139	61863559	-	61863471	61863521
BRIX1	chr5	34915677	34925996	+	34915676	34915726
BRK1	chr3	10115675	10127190	+	10115591	10115641
BRME1	chr19	13882348	13906452	-	13906115	13906165
BRMS1	chr11	66337333	66345125	-	66345075	66345125
BRMS1L	chr14	35826338	35932325	+	35826317	35826367
BRPF1	chr3	9731729	9748019	+	9731744	9731794
BRPF3	chr6	36196744	36232790	+	36197395	36197445
BRSK1	chr19	55282072	55312562	+	55304047	55304097
BRSK2	chr11	1389899	1462689	+	1389900	1389950
BRWD1	chr21	39184176	39321559	-	39200446	39200496
BSCL2	chr11	62689289	62709845	-	62707413	62707463
BSG	chr19	571277	583494	+	572564	572614
BSN	chr3	49554477	49671549	+	49643028	49643078
BSPH1	chr19	47968046	47992170	-	47992120	47992170
BSPRY	chr9	113349541	113371233	+	113349540	113349590
BST1	chr4	15703065	15738313	+	15707508	15707558
BST2	chr19	17402939	17405630	-	17405598	17405648
BSX	chr11	122977570	122981834	-	122981670	122981720
BTAF1	chr10	91923770	92031437	+	91956620	91956657
BTBD1	chr15	83016423	83067252	-	83041771	83041821
BTBD10	chr11	13388008	13463297	-	13463131	13463280
BTBD11	chr12	107318421	107659642	+	107634831	107634881
BTBD16	chr10	122271296	122338159	+	122331966	122332016
BTBD17	chr17	74356416	74361868	-	74361896	74361946
BTBD18	chr11	57743514	57752675	-	57751326	57751376
BTBD2	chr19	1985438	2034881	-	1997374	1997424
BTBD3	chr20	11890723	11926609	+	11919540	11919590
BTBD6	chr14	105248533	105251093	+	105248625	105248675
BTBD7	chr14	93237550	93333092	-	93332989	93333039
BTBD9	chr6	38168451	38640148	-	38640098	38640148
BTC	chr4	74744759	74794523	-	74794636	74794686
BTD	chr3	15601341	15722311	+	15601741	15601791
BTF3	chr5	73498408	73505667	+	73498430	73498480
BTG1	chr12	92140278	92145846	-	92145847	92145897
BTG3	chr21	17604145	17612947	-	17605083	17605133
BTG4	chr11	111467526	111514367	-	111512304	111512354
BTLA	chr3	112463966	112499472	-	112469972	112470022
BTN1A1	chr6	26500303	26510425	+	26501220	26501270
BTN2A1	chr6	26457904	26476621	+	26457924	26457974
BTN2A2	chr6	26383096	26394874	+	26383095	26383145
BTN3A1	chr6	26402237	26415208	+	26402249	26402299
BTN3A2	chr6	26365159	26378320	+	26365169	26365217
BTN3A3	chr6	26440472	26453415	+	26440475	26440542
BTNL2	chr6	32460601	32473766	-	32407073	32407123
BTNL3	chr5	180988846	181006727	+	180988844	180988894
BTNL8	chr5	180899077	180950906	+	180899121	180899171
BTNL9	chr5	181040225	181061521	+	181040265	181040315
BTRC	chr10	101354033	101557321	+	101535383	101535433
BUB1	chr2	110637528	110678063	-	110650689	110650739
BUB1B	chr15	40161023	40221123	+	40185471	40185521
BUB1B-PAK6	chr15	40218500	40264890	+	40218499	40218549
BUB3	chr10	123154402	123170467	+	123154401	123154451
BUD13	chr11	116748170	116772987	-	116772938	116772988
BUD23	chr7	73683025	73705161	+	73683596	73683646
BUD31	chr7	99408641	99419616	+	99411056	99411106
BVES	chr6	105096822	105137157	-	105137124	105137174
BYSL	chr6	41921499	41933046	+	41921549	41921599
BZW1	chr2	200810594	200827338	+	200818033	200818083
BZW2	chr7	16646131	16706523	+	16646159	16646209
C10orf105	chr10	71711701	71737824	-	71719771	71719821
C10orf120	chr10	122697709	122699846	-	122699772	122699822
C10orf143	chr10	130020025	130110830	-	130110767	130110817
C10orf53	chr10	49679651	49710261	+	49679685	49679735
C10orf62	chr10	97589721	97590934	+	97589726	97589776
C10orf67	chr10	23202696	23344845	-	23343914	23343964
C10orf71	chr10	49299170	49327492	+	49299192	49299233
C10orf82	chr10	116663696	116670264	-	116670214	116670264
C10orf88	chr10	122930901	122954311	-	122954261	122954311
C10orf90	chr10	126424997	126798708	-	126520809	126520859
C10orf95	chr10	102449837	102451543	-	102451493	102451543
C10orf99	chr10	84173801	84185294	+	84173737	84176567
C11orf1	chr11	111878935	111885975	+	111878934	111878984
C11orf16	chr11	8920076	8933006	-	8932900	8932989
C11orf21	chr11	2295628	2303049	-	2302010	2302060
C11orf24	chr11	68261338	68272001	-	68271921	68271971
C11orf42	chr11	6205557	6211135	+	6205565	6205615
C11orf49	chr11	46936689	47164385	+	46936729	46936779
C11orf52	chr11	111918032	111926871	+	111918031	111918081
C11orf53	chr11	111245725	111286401	+	111255981	111256031
C11orf54	chr11	93741591	93764749	+	93741656	93741706
C11orf58	chr11	16613132	16758340	+	16738643	16738693
C11orf65	chr11	108308519	108467531	-	108461519	108461569
C11orf68	chr11	65916810	65919062	-	65919012	65919117
C11orf71	chr11	114391443	114400511	-	114400461	114400511
C11orf80	chr11	66744451	66843516	+	66744617	66744667
C11orf86	chr11	66975277	66977009	+	66975276	66975326
C11orf87	chr11	109422190	109429167	+	109422119	109422169
C11orf91	chr11	33698261	33700826	-	33700347	33700397
C11orf94	chr11	45906513	45907272	-	45907232	45907282
C11orf96	chr11	43925342	43943878	+	43925341	43925391
C11orf97	chr11	94512461	94532123	+	94512580	94512630
C11orf98	chr11	62662817	62665210	-	62665167	62665217
C12orf29	chr12	88033846	88050160	+	88035535	88035585
C12orf4	chr12	4487735	4538508	-	4538458	4538508
C12orf40	chr12	39626167	39908300	+	39626182	39626267
C12orf42	chr12	103237591	103495978	-	103495921	103495971
C12orf43	chr12	121000486	121016502	-	121016452	121016502
C12orf50	chr12	87980035	88034037	-	88029362	88029412
C12orf54	chr12	48482498	48496524	+	48482502	48482552
C12orf56	chr12	64264762	64390758	-	64270535	64270573
C12orf57	chr12	6942978	6946003	+	6943501	6943551
C12orf60	chr12	14803666	14906586	+	14803665	14803715
C12orf71	chr12	27081057	27082578	-	27082464	27082514
C12orf73	chr12	103940763	103965708	-	103957163	103957213
C12orf75	chr12	105235290	105396097	+	105353508	105353558
C12orf76	chr12	110027028	110073636	-	110048505	110048565
C13orf42	chr13	51082119	51200252	-	51172172	51172222
C14orf119	chr14	23095505	23100456	+	23095524	23095574
C14orf132	chr14	96039362	96093971	+	96039323	96039373
C14orf180	chr14	104586828	104597659	+	104579763	104579813
C14orf28	chr14	44897275	44907257	+	44900413	44900463
C14orf39	chr14	60396469	60515543	-	60515493	60515543
C14orf93	chr14	22985894	23010166	-	23010116	23010166
C15orf39	chr15	75195643	75212169	+	75198891	75198941
C15orf40	chr15	82988441	83011641	-	83008566	83008616
C15orf48	chr15	45430579	45448761	+	45430606	45430656
C15orf61	chr15	67521131	67530146	+	67521067	67521734
C15orf62	chr15	40769980	40772449	+	40770079	40770129
C15orf65	chr15	55408495	55418798	+	55417697	55417747
C16orf46	chr16	81053497	81077267	-	81077028	81077078
C16orf54	chr16	29742463	29745990	-	29745956	29746006
C16orf72	chr16	9091644	9121635	+	9092190	9092240
C16orf74	chr16	85690084	85751129	-	85710800	85710850
C16orf78	chr16	49373804	49399431	+	49373822	49373872
C16orf82	chr16	27066927	27069166	+	27066897	27066947
C16orf86	chr16	67666814	67668757	+	67666815	67666865
C16orf87	chr16	46796603	46831180	-	46830709	46830759
C16orf89	chr16	5044122	5066110	-	5055327	5055377
C16orf90	chr16	3493484	3495489	-	3495430	3495480
C16orf91	chr16	1419752	1420756	-	1420706	1420756
C16orf92	chr16	30023198	30027736	+	30023725	30023775
C16orf95	chr16	87083562	87317420	-	87306075	87306125
C16orf96	chr16	4556340	4600758	+	4556489	4556539
C17orf100	chr17	6651762	6693202	+	6651717	6651767
C17orf107	chr17	4899418	4902934	+	4899417	4899467
C17orf113	chr17	42038232	42050601	-	42043067	42043117
C17orf114	chr17	4801159	4807013	-	4806963	4807013
C17orf49	chr17	7014495	7017525	+	7015816	7015866
C17orf50	chr17	35760887	35765079	+	35760896	35760946
C17orf58	chr17	67991099	67996469	-	67993502	67993552
C17orf64	chr17	60392429	60431426	+	60421741	60421789
C17orf67	chr17	56791913	56838773	-	56795242	56795292
C17orf75	chr17	32324565	32350023	-	32335322	32335362
C17orf78	chr17	37375985	37392708	+	37375985	37376035
C17orf80	chr17	73232233	73248959	+	73232636	73232711
C17orf97	chr17	410325	431062	+	410336	410410
C17orf98	chr17	38835086	38841438	-	38841405	38841455
C17orf99	chr17	78146385	78166297	+	78160063	78160106
C18orf21	chr18	35972625	35979286	+	35972633	35972731
C18orf25	chr18	46173553	46266992	+	46174026	46174076
C18orf32	chr18	49477243	49487252	-	49487206	49487252
C18orf54	chr18	54357906	54385218	+	54358584	54358634
C18orf63	chr18	74315839	74359189	+	74315812	74315862
C19orf12	chr19	29698937	29715789	-	29708590	29708640
C19orf18	chr19	57958437	57974534	-	57974484	57974534
C19orf25	chr19	1461143	1479219	-	1479163	1479219
C19orf33	chr19	38304164	38305006	+	38304160	38304213
C19orf38	chr19	10836575	10869790	+	10836574	10836624
C19orf44	chr19	16496394	16521352	+	16496393	16496443
C19orf47	chr19	40319536	40348527	-	40341838	40341885
C19orf53	chr19	13774456	13778773	+	13774478	13774528
C19orf54	chr19	40740856	40751553	-	40751503	40751553
C19orf67	chr19	14081624	14085875	-	14085825	14085875
C19orf71	chr19	3539171	3544030	+	3539153	3539203
C19orf73	chr19	49118402	49119143	-	49119090	49119140
C19orf81	chr19	50649445	50659310	+	50649444	50649494
C19orf84	chr19	51388289	51390591	-	51390524	51390574
C1D	chr2	68041130	68110948	-	68062959	68063009
C1GALT1	chr7	7156934	7248616	+	7234319	7234369
C1GALT1C1L	chr2	43675151	43676429	-	43676272	43676322
C1QBP	chr17	5432777	5448830	-	5433803	5433853
C1QL1	chr17	44959693	44968303	-	44968021	44968071
C1QL2	chr2	119156243	119158751	-	119158839	119158889
C1QL3	chr10	16513734	16521879	-	16521095	16521145
C1QL4	chr12	49332409	49337188	-	49337138	49337188
C1QTNF1	chr17	79022814	79049788	+	79024168	79024218
C1QTNF2	chr5	160347754	160370641	-	160370591	160370641
C1QTNF3	chr5	34017858	34043213	-	34043163	34043213
C1QTNF3-AMACR	chr5	33987174	34124528	-	34124478	34124528
C1QTNF4	chr11	47589667	47594411	-	47594609	47594659
C1QTNF5	chr11	119338942	119340940	-	119340833	119340883
C1QTNF6	chr22	37180166	37199385	-	37188239	37188289
C1QTNF7	chr4	15339818	15446167	+	15374548	15374598
C1QTNF8	chr16	1088226	1096244	-	1096194	1096244
C1QTNF9	chr13	24307166	24322535	+	24307165	24307215
C1QTNF9B	chr13	23891099	23897502	-	23897452	23897502
C1R	chr12	7080214	7091771	-	7090308	7090358
C1RL	chr12	7089587	7109238	-	7109188	7109273
C1S	chr12	6988259	7071032	+	7067394	7067444
C2	chr6	31888164	31936056	+	31927738	31927788
C20orf141	chr20	2814987	2815833	+	2814986	2815017
C20orf144	chr20	33662327	33665619	+	33663365	33663415
C20orf173	chr20	35523186	35529652	-	35529573	35529623
C20orf202	chr20	1203454	1209076	+	1203453	1203503
C20orf203	chr20	32631625	32673941	-	32673891	32673941
C20orf204	chr20	64034344	64039962	+	64038131	64038181
C20orf27	chr20	3753508	3767781	-	3767731	3767781
C20orf85	chr20	58150902	58161150	+	58150903	58150953
C20orf96	chr20	270863	290778	-	290379	290429
C21orf58	chr21	46300181	46323875	-	46318156	46318206
C21orf62	chr21	32793564	32813728	-	32813693	32813743
C21orf91	chr21	17788974	17819386	-	17819336	17819386
C22orf15	chr22	23762990	23765863	+	23763206	23763256
C22orf23	chr22	37943050	37953669	-	37953597	37953647
C22orf31	chr22	29058672	29061831	-	29061794	29061844
C22orf39	chr22	19351368	19447711	-	19447664	19447697
C22orf42	chr22	32149006	32159322	-	32159272	32159322
C2CD2	chr21	41885112	41954018	-	41953469	41953519
C2CD2L	chr11	119102198	119118544	+	119106749	119106799
C2CD3	chr11	74012718	74171210	-	74091314	74091364
C2CD4A	chr15	62066977	62070917	+	62066976	62067026
C2CD4B	chr15	62163535	62165285	-	62165233	62165283
C2CD4C	chr19	405445	409147	-	409120	409170
C2CD5	chr12	22448583	22544546	-	22544496	22544546
C2CD6	chr2	201487421	201619178	-	201619128	201619178
C2orf15	chr2	99141707	99151669	+	99141749	99141799
C2orf16	chr2	27537386	27582720	+	27576521	27576571
C2orf42	chr2	70149885	70248615	-	70190649	70190699
C2orf49	chr2	105337532	105349211	+	105337531	105337581
C2orf50	chr2	11133128	11151317	+	11133128	11133178
C2orf66	chr2	196804417	196809355	-	196810226	196810276
C2orf68	chr2	85605254	85612066	-	85612016	85612066
C2orf69	chr2	199911293	199955935	+	199911305	199911355
C2orf72	chr2	231037523	231049719	+	231037561	231037611
C2orf73	chr2	54330034	54383742	+	54330954	54331001
C2orf74	chr2	61145068	61164828	+	61145107	61145157
C2orf76	chr2	119302225	119366834	-	119366789	119366828
C2orf78	chr2	73784189	73817147	+	73784188	73784238
C2orf80	chr2	208165343	208190030	-	208190023	208190073
C2orf88	chr2	189879609	190203484	+	190180862	190180912
C2orf92	chr2	97664217	97703066	+	97669816	97669834
C3	chr19	6677704	6730562	-	6679151	6679201
C3AR1	chr12	8056844	8066359	-	8066421	8066471
C3orf14	chr3	62319015	62336213	+	62319720	62319770
C3orf18	chr3	50558025	50571027	-	50567626	50567751
C3orf20	chr3	14675141	14773036	+	14675140	14675190
C3orf22	chr3	126526999	126558965	-	126558915	126558965
C3orf33	chr3	155762617	155806278	-	155806301	155806351
C3orf38	chr3	88149959	88168729	+	88156888	88156938
C3orf49	chr3	63819299	63848636	+	63819361	63819411
C3orf52	chr3	112086335	112131004	+	112111451	112111501
C3orf56	chr3	127193131	127198185	+	127193130	127193180
C3orf62	chr3	49268596	49277232	-	49274484	49274534
C3orf70	chr3	185076838	185153060	-	185152964	185153014
C3orf80	chr3	160225422	160228213	+	160225841	160225891
C3orf84	chr3	49177634	49191858	-	49189974	49190024
C3orf85	chr3	109118252	109151401	+	109136713	109136741
C4A	chr6	31972402	31993060	+	31994407	31994457
C4B	chr6	31996944	32011233	+	32015618	32015657
C4orf17	chr4	99511012	99542303	+	99519241	99519291
C4orf19	chr4	37453925	37623495	+	37584232	37584282
C4orf3	chr4	119296419	119304445	-	119304395	119304445
C4orf33	chr4	129093317	129116640	+	129096128	129096178
C4orf36	chr4	86876205	86892422	-	86892372	86892422
C4orf45	chr4	158893134	159038760	-	158973081	158973131
C4orf46	chr4	158666675	158672255	-	158672205	158672255
C4orf47	chr4	185426249	185449826	+	185426248	185426298
C4orf48	chr4	2041995	2043964	+	2042049	2042099
C4orf50	chr4	5897373	6200555	-	5989768	5989818
C4orf51	chr4	145680146	145771032	+	145732453	145732503
C4orf54	chr4	99636529	99657828	-	99654598	99654648
C5	chr9	120952335	121050275	-	121006903	121006928
C5AR1	chr19	47290023	47322066	+	47290022	47290061
C5AR2	chr19	47332175	47347329	+	47337113	47337163
C5orf15	chr5	133955510	133968674	-	133968575	133968625
C5orf22	chr5	31532287	31555053	+	31532265	31532336
C5orf24	chr5	134845680	134859735	+	134846245	134846295
C5orf34	chr5	43486709	43515148	-	43515028	43515078
C5orf46	chr5	147880726	147906538	-	147906488	147906538
C5orf47	chr5	173973779	174006140	+	173973778	173973828
C5orf49	chr5	7830378	7851151	-	7851101	7851151
C5orf52	chr5	157671533	157680158	+	157671552	157671602
C5orf58	chr5	170232447	170252575	+	170232446	170232496
C5orf63	chr5	127045235	127073506	-	127073450	127073492
C6	chr5	41142116	41261438	-	41172629	41172679
C6orf118	chr6	165279664	165309605	-	165281972	165282022
C6orf120	chr6	169702190	169704856	+	169702189	169702239
C6orf132	chr6	42101119	42142620	-	42142569	42142619
C6orf136	chr6	30636534	30642598	+	30647038	30647104
C6orf141	chr6	49550666	49561907	+	49550645	49550715
C6orf15	chr6	31156133	31157469	-	31112509	31112559
C6orf163	chr6	87344813	87365463	+	87356143	87356193
C6orf226	chr6	42890265	42890821	-	42890766	42890816
C6orf47	chr6	31734577	31737051	-	31660722	31660772
